iter	Passed	Remaining
0	129	129488
1	132	66114
2	137	45858
3	140	34991
4	142	28447
5	147	24450
6	149	21213
7	151	18735
8	152	16794
9	153	15231
10	155	13953
11	156	12887
12	157	11979
13	159	11262
14	161	10596
15	162	9991
16	163	9453
17	164	8969
18	165	8533
19	166	8139
20	166	7783
21	167	7459
22	168	7163
23	169	6889
24	170	6637
25	170	6400
26	171	6184
27	172	5980
28	173	5811
29	174	5647
30	175	5480
31	175	5322
32	176	5173
33	177	5032
34	177	4899
35	178	4773
36	178	4655
37	179	4543
38	180	4436
39	180	4335
40	181	4240
41	181	4148
42	182	4061
43	183	3977
44	183	3897
45	184	3820
46	184	3747
47	185	3685
48	186	3618
49	187	3561
50	188	3506
51	189	3450
52	189	3392
53	190	3335
54	190	3281
55	191	3229
56	192	3178
57	192	3129
58	193	3082
59	193	3036
60	194	2992
61	194	2949
62	195	2908
63	196	2868
64	196	2829
65	197	2791
66	197	2755
67	198	2720
68	199	2688
69	200	2658
70	200	2626
71	201	2594
72	202	2571
73	203	2551
74	204	2522
75	205	2494
76	206	2469
77	206	2446
78	207	2419
79	208	2392
80	208	2367
81	209	2342
82	209	2314
83	210	2290
84	210	2267
85	211	2245
86	211	2223
87	212	2203
88	213	2181
89	213	2161
90	214	2140
91	214	2120
92	215	2101
93	216	2082
94	217	2070
95	218	2055
96	219	2038
97	219	2021
98	220	2004
99	220	1987
100	221	1971
101	222	1954
102	222	1938
103	223	1923
104	223	1907
105	224	1892
106	224	1877
107	225	1862
108	226	1848
109	226	1834
110	227	1820
111	227	1806
112	228	1793
113	229	1779
114	229	1767
115	230	1754
116	230	1740
117	231	1728
118	232	1721
119	233	1713
120	234	1703
121	234	1690
122	235	1679
123	236	1667
124	236	1656
125	237	1645
126	237	1633
127	238	1623
128	238	1613
129	239	1602
130	240	1592
131	240	1582
132	241	1573
133	241	1563
134	242	1554
135	243	1544
136	243	1535
137	244	1525
138	244	1516
139	245	1507
140	246	1498
141	246	1489
142	247	1484
143	248	1478
144	249	1470
145	249	1462
146	250	1453
147	251	1445
148	251	1437
149	252	1429
150	252	1422
151	253	1414
152	254	1406
153	254	1399
154	255	1391
155	255	1384
156	256	1376
157	256	1369
158	257	1362
159	258	1355
160	258	1347
161	259	1340
162	259	1333
163	260	1326
164	260	1320
165	261	1314
166	262	1310
167	263	1306
168	264	1300
169	265	1294
170	265	1287
171	266	1281
172	266	1275
173	267	1269
174	267	1263
175	268	1257
176	269	1251
177	269	1245
178	270	1239
179	270	1234
180	271	1228
181	272	1222
182	272	1217
183	273	1211
184	273	1206
185	274	1200
186	274	1195
187	275	1189
188	276	1184
189	277	1182
190	278	1179
191	279	1174
192	279	1169
193	280	1164
194	280	1159
195	281	1154
196	282	1149
197	282	1144
198	283	1139
199	283	1135
200	284	1130
201	284	1125
202	285	1121
203	286	1116
204	286	1111
205	287	1107
206	287	1102
207	288	1098
208	289	1093
209	289	1089
210	290	1085
211	290	1080
212	292	1080
213	294	1079
214	294	1076
215	295	1072
216	296	1068
217	296	1065
218	297	1062
219	298	1057
220	299	1053
221	299	1049
222	300	1045
223	300	1041
224	301	1037
225	301	1033
226	302	1029
227	303	1025
228	303	1022
229	304	1018
230	304	1014
231	305	1010
232	306	1007
233	307	1005
234	308	1003
235	309	1000
236	309	997
237	310	993
238	310	989
239	311	986
240	311	982
241	312	979
242	313	976
243	313	972
244	314	969
245	315	965
246	315	962
247	316	958
248	316	955
249	317	952
250	317	948
251	318	945
252	319	941
253	319	938
254	320	935
255	320	932
256	321	929
257	322	928
258	323	925
259	324	922
260	324	919
261	325	916
262	326	913
263	326	910
264	327	907
265	327	904
266	328	901
267	329	898
268	329	895
269	330	892
270	330	889
271	331	886
272	331	883
273	332	881
274	333	878
275	333	875
276	334	872
277	335	870
278	335	867
279	336	864
280	337	863
281	338	861
282	338	858
283	339	855
284	340	853
285	340	850
286	341	847
287	341	845
288	342	842
289	343	839
290	343	837
291	344	834
292	344	832
293	345	829
294	346	826
295	346	824
296	347	821
297	347	819
298	348	816
299	349	814
300	349	811
301	350	809
302	350	806
303	351	804
304	352	803
305	353	801
306	354	799
307	354	796
308	355	794
309	355	792
310	356	789
311	357	787
312	357	784
313	358	782
314	358	780
315	359	777
316	360	775
317	360	773
318	361	770
319	361	768
320	362	766
321	363	764
322	363	762
323	364	759
324	364	757
325	365	755
326	365	753
327	366	751
328	367	750
329	368	748
330	369	746
331	369	744
332	370	741
333	371	739
334	371	737
335	372	735
336	372	733
337	373	731
338	373	728
339	374	726
340	375	724
341	375	722
342	376	720
343	377	719
344	377	717
345	378	715
346	379	713
347	379	711
348	380	709
349	380	707
350	382	706
351	383	705
352	383	703
353	384	701
354	384	699
355	385	697
356	386	695
357	386	693
358	387	691
359	387	689
360	388	687
361	389	685
362	389	683
363	390	681
364	390	680
365	391	678
366	392	676
367	392	674
368	393	672
369	393	670
370	394	668
371	394	666
372	395	664
373	396	663
374	397	662
375	398	662
376	399	660
377	400	658
378	401	657
379	402	656
380	403	655
381	403	653
382	404	652
383	405	650
384	406	649
385	407	648
386	408	647
387	409	646
388	410	645
389	412	644
390	413	643
391	413	642
392	414	640
393	415	638
394	415	636
395	416	634
396	416	633
397	417	631
398	418	629
399	418	627
400	419	626
401	419	624
402	420	622
403	420	621
404	421	619
405	422	617
406	422	615
407	423	614
408	423	612
409	424	610
410	424	608
411	425	607
412	426	605
413	427	604
414	428	603
415	429	602
416	429	600
417	430	599
418	430	597
419	431	595
420	432	594
421	432	592
422	433	590
423	433	589
424	434	587
425	435	586
426	435	584
427	436	583
428	436	581
429	437	579
430	437	578
431	438	576
432	439	575
433	439	573
434	440	571
435	440	570
436	442	569
437	443	568
438	443	567
439	444	565
440	445	564
441	445	562
442	446	561
443	446	559
444	447	557
445	447	556
446	448	554
447	449	553
448	449	551
449	450	550
450	450	548
451	451	547
452	452	545
453	452	544
454	453	542
455	453	541
456	454	539
457	455	538
458	455	537
459	457	536
460	458	535
461	459	534
462	459	533
463	460	531
464	460	530
465	461	528
466	461	527
467	462	525
468	463	524
469	463	522
470	464	521
471	464	520
472	465	518
473	466	517
474	466	515
475	467	514
476	467	512
477	468	511
478	468	510
479	469	508
480	470	507
481	470	505
482	471	504
483	472	503
484	473	502
485	474	501
486	474	500
487	475	498
488	475	497
489	476	495
490	477	494
491	477	493
492	478	491
493	478	490
494	479	489
495	479	487
496	480	486
497	481	484
